order,pol,z_um,m_s,m_star,eta0,s_eta0,rho,s_rho,q_half,s_q_half,S_shape,s_S,w_entry,s_w,rms_single_scale,tstar_tau,lam_late,reachable
inverse,linear,0.001117,1.000306052881089e-05,5.188244273720733e-06,1.6009318894495042,0.007664678661096452,0.39906811055049574,0.007664678661096452,1.825646548314841,0.1029166842149756,7.284620833847157,0.504336779887276,0.07345377804418071,0.12004231718024655,,,1.36875917978035,True
inverse,linear,11.166582,0.09999999610199657,0.0518665668026258,1.7676742948282276,0.004258496504518319,0.23232570517177242,0.004258496504518319,1.78056610056704,0.08115678063788259,7.277739703449865,0.24679796286039396,-0.5641521096802858,0.09376761350367911,,,1.1451749455386828,True
inverse,linear,27.916456,0.24999999921028287,0.12966642165136688,1.7677850767785412,0.006534458728884005,0.2322149232214587,0.006534458728884005,1.6305298735492049,0.05618491921434964,6.5090959504277945,0.3257154914973494,-0.2661387937479186,0.11374836654560093,,,1.239831418932407,True
inverse,linear,55.832912,0.49999999842056575,0.25933284330273376,1.7648572001267842,0.00723403994368435,0.235142799873216,0.00723403994368435,1.4034431108233503,0.0720186001603199,5.739210038507861,0.2937398291457062,0.19380033126478965,0.12524441036660247,,,0.9119732487187304,True
inverse,linear,111.665824,0.9999999968411315,0.5186656866054675,1.7509534439319836,0.004927387505310585,0.24904655606801604,0.004927387505310586,1.1580976832243322,0.07310232820714228,5.289790789004117,0.2786967755864433,0.7332055348166414,0.11183703134520895,,,0.9391500243566446,True
inverse,linear,223.331649,2.000000002637554,1.0373313778557376,1.7469022866733575,0.00959093714757013,0.2530977133266424,0.00959093714757013,0.9101815936147316,0.05380306610993194,5.5608308170401255,0.27077341252304366,1.0570821446324556,0.1889437391122428,,9.550001766590551,1.067235381812628,True
inverse,linear,334.997473,2.999999999478686,1.5559970644612051,1.7414126981147031,0.00846365961699351,0.25858730188529677,0.008463659616993512,0.8400574742878811,0.04101330409020252,6.0020365577180765,0.36859502935716415,1.1642922535164226,0.19658310309592986,,18.16925942642484,0.6349038376939362,True
inverse,linear,558.329122,5.00000000211624,2.5933284423169427,1.738367418108599,0.005205052694322269,0.26163258189140104,0.005205052694322269,0.7778027717688822,0.027597403836156827,6.514099635462662,0.3350631221942813,1.1569534174238192,0.06447543851591894,,17.626535622626857,0.32682535072541563,True
inverse,linear,781.66077,6.999999995798503,3.6306598155278778,1.7369463204202575,0.00385390747668546,0.2630536795797428,0.00385390747668546,0.8053084710922273,0.020489985614742554,7.034386707482152,0.3820177047851112,1.0943034076560374,0.06348369212566618,,,0.26078001171146725,True
inverse,linear,1116.658244,10.00000000423248,5.186656884633885,1.7375095590945566,0.008833148825722784,0.2624904409054433,0.008833148825722784,0.8430007275741689,0.0339783531240177,6.994048149609689,0.5567570233339375,1.0220634848112595,0.12525691095153912,,,0.12042556401738769,False
